#Parameters = {d=500; p=50; phi=0; r1=40; r2=15; t=0.2; theta=0; w=2.5; Mesh Pass=3}
#"Frequency / THz"	"S2,1 (3) [Magnitude / dB]"
#---------------------------------------------
0.50000000000000	-2.2574566262793
0.50449997186661	-2.2838688037192
0.50900000333786	-2.3101003402414
0.51349997520447	-2.3359988441766
0.51800000667572	-2.3614479132651
0.52249997854233	-2.3863701708076
0.52700001001358	-2.4107283505212
0.53149998188019	-2.4345295141360
0.53600001335144	-2.4578258117286
0.54049998521805	-2.4807124064020
0.54500001668930	-2.5033232284311
0.54949998855591	-2.5258319293124
0.55400002002716	-2.5484422942631
0.55849999189377	-2.5713872704053
0.56300002336502	-2.5949162691825
0.56749999523163	-2.6192992097260
0.57200002670288	-2.6448097636865
0.57649999856949	-2.6717222511898
0.58099997043610	-2.7003043796808
0.58550000190735	-2.7308172336965
0.58999997377396	-2.7635007423709
0.59450000524521	-2.7985769196302
0.59899997711182	-2.8362423393995
0.60350000858307	-2.8766624661933
0.60799998044968	-2.9199765820251
0.61250001192093	-2.9662951476719
0.61699998378754	-3.0156925778638
0.62150001525879	-3.0682220227450
0.62599998712540	-3.1238993687901
0.63050001859665	-3.1827252879206
0.63499999046326	-3.2446721433188
0.63950002193451	-3.3097028349898
0.64399999380112	-3.3777644281210
0.64850002527237	-3.4488014248138
0.65299999713898	-3.5227630945290
0.65750002861023	-3.5996038335865
0.66200000047684	-3.6792978949468
0.66649997234344	-3.7618448308021
0.67100000381470	-3.8472782249958
0.67549997568130	-3.9356706082362
0.68000000715256	-4.0271398659577
0.68449997901917	-4.1218655340108
0.68900001049042	-4.2200830454739
0.69349998235703	-4.3220975939536
0.69800001382828	-4.4282833107111
0.70249998569489	-4.5390904688582
0.70700001716614	-4.6550483983433
0.71149998903275	-4.7767683967724
0.71600002050400	-4.9049432187555
0.72049999237061	-5.0403492879366
0.72500002384186	-5.1838526235652
0.72949999570847	-5.3364062071375
0.73400002717972	-5.4990548278741
0.73849999904633	-5.6729408110167
0.74299997091293	-5.8593089677987
0.74750000238419	-6.0595098951316
0.75199997425079	-6.2750205107135
0.75650000572205	-6.5074533607463
0.76099997758865	-6.7585744679580
0.76550000905991	-7.0303326540969
0.76999998092651	-7.3248917312485
0.77450001239777	-7.6446702092606
0.77899998426437	-7.9923967572005
0.78350001573563	-8.3711840104803
0.78799998760223	-8.7846132780695
0.79250001907349	-9.2368596236306
0.79699999094009	-9.7328437550192
0.80150002241135	-10.278454755749
0.80599999427795	-10.880819639298
0.81050002574921	-11.548714837032
0.81499999761581	-12.293099062330
0.81950002908707	-13.127884798908
0.82400000095367	-14.071012008358
0.82849997282028	-15.145910325563
0.83300000429153	-16.383308054178
0.83749997615814	-17.822643152568
0.84200000762939	-19.509140459866
0.84649997949600	-21.469102429058
0.85100001096725	-23.593095168062
0.85549998283386	-25.265911277239
0.86000001430511	-25.262169572080
0.86449998617172	-23.558144508993
0.86900001764297	-21.378388309271
0.87349998950958	-19.356186618450
0.87800002098083	-17.607425971529
0.88249999284744	-16.107095896745
0.88700002431870	-14.810031786353
0.89149999618530	-13.676663770525
0.89600002765656	-12.676137847546
0.90049999952316	-11.784955273036
0.90499997138977	-10.985151844570
0.90950000286102	-10.262827037195
0.91399997472763	-9.6070665745292
0.91850000619888	-9.0091623101856
0.92299997806549	-8.4620751637019
0.92750000953674	-7.9600234481896
0.93199998140335	-7.4982080633996
0.93650001287460	-7.0725859037664
0.94099998474121	-6.6797251771289
0.94550001621246	-6.3166701053610
0.94999998807907	-5.9808569459411
0.95450001955032	-5.6700346850895
0.95899999141693	-5.3822177623745
0.96350002288818	-5.1156293209589
0.96799999475479	-4.8686793661169
0.97250002622604	-4.6399178436565
0.97699999809265	-4.4280277748058
0.98150002956390	-4.2317994446993
0.98600000143051	-4.0501135518275
0.99049997329712	-3.8819299686458
0.99500000476837	-3.7262797190546
0.99949997663498	-3.5822555165721
1.0039999485016	-3.4489998463415
1.0084999799728	-3.3257118190806
1.0130000114441	-3.2116305593942
1.0175000429153	-3.1060404943170
1.0219999551773	-3.0082643245223
1.0264999866486	-2.9176631848956
1.0310000181198	-2.8336365895195
1.0355000495911	-2.7556210409200
1.0399999618530	-2.6830884859588
1.0444999933243	-2.6155464612436
1.0490000247955	-2.5525407960894
1.0535000562668	-2.4936535744478
1.0579999685287	-2.4385015008384
1.0625000000000	-2.3867384828789
1.0670000314713	-2.3380529662296
1.0714999437332	-2.2921687589489
1.0759999752045	-2.2488455214345
1.0805000066757	-2.2078712511060
1.0850000381470	-2.1690703675153
1.0894999504089	-2.1322915239526
1.0939999818802	-2.0974108128503
1.0985000133514	-2.0643317758552
1.1030000448227	-2.0329782458256
1.1074999570847	-2.0032921527087
1.1119999885559	-1.9752294791508
1.1165000200272	-1.9487641673518
1.1210000514984	-1.9238747254808
1.1254999637604	-1.9005526053911
1.1299999952316	-1.8787852547946
1.1345000267029	-1.8585680567857
1.1390000581741	-1.8398952269168
